date,price,cash,btc_holdings,position_value,total_value,return,total_score,in_target_zone,peak,drawdown
2020-10-11,11375.51,10000.0,0.0,0.0,10000.0,0.0,1.0,False,10000.0,0.0
2020-10-12,11539.76,10000.0,0.0,0.0,10000.0,0.0,1.0,False,10000.0,0.0
2020-10-13,11427.29,10000.0,0.0,0.0,10000.0,0.0,1.0,False,10000.0,0.0
2020-10-14,11429.3,10000.0,0.0,0.0,10000.0,0.0,1.0,False,10000.0,0.0
2020-10-15,11508.31,10000.0,0.0,0.0,10000.0,0.0,1.0,False,10000.0,0.0
2020-10-16,11326.25,10000.0,0.0,0.0,10000.0,0.0,1.0,False,10000.0,0.0
2020-10-17,11367.65,10000.0,0.0,0.0,10000.0,0.0,1.0,False,10000.0,0.0
2020-10-18,11513.33,10000.0,0.0,0.0,10000.0,0.0,1.0,False,10000.0,0.0
2020-10-19,11756.88,10000.0,0.0,0.0,10000.0,0.0,1.0,False,10000.0,0.0
2020-10-20,11921.78,10000.0,0.0,0.0,10000.0,0.0,1.0,False,10000.0,0.0
2020-10-21,12813.11,10000.0,0.0,0.0,10000.0,0.0,1.0,False,10000.0,0.0
2020-10-22,12990.25,10000.0,0.0,0.0,10000.0,0.0,1.0,False,10000.0,0.0
2020-10-23,12937.2,10000.0,0.0,0.0,10000.0,0.0,1.0,False,10000.0,0.0
2020-10-24,13126.13,10000.0,0.0,0.0,10000.0,0.0,1.0,False,10000.0,0.0
2020-10-25,13041.21,10000.0,0.0,0.0,10000.0,0.0,1.0,False,10000.0,0.0
2020-10-26,13069.43,10000.0,0.0,0.0,10000.0,0.0,1.0,False,10000.0,0.0
2020-10-27,13646.02,10000.0,0.0,0.0,10000.0,0.0,1.0,False,10000.0,0.0
2020-10-28,13285.97,10000.0,0.0,0.0,10000.0,0.0,1.0,False,10000.0,0.0
2020-10-29,13462.18,10000.0,0.0,0.0,10000.0,0.0,1.0,False,10000.0,0.0
2020-10-30,13565.95,10000.0,0.0,0.0,10000.0,0.0,1.0,False,10000.0,0.0
2020-10-31,13803.41,10000.0,0.0,0.0,10000.0,0.0,1.0,False,10000.0,0.0
2020-11-01,13761.72,10000.0,0.0,0.0,10000.0,0.0,1.0,False,10000.0,0.0
2020-11-02,13571.24,10000.0,0.0,0.0,10000.0,0.0,2.0,False,10000.0,0.0
2020-11-03,14023.78,10000.0,0.0,0.0,10000.0,0.0,2.0,False,10000.0,0.0
2020-11-04,14157.73,10000.0,0.0,0.0,10000.0,0.0,2.0,False,10000.0,0.0
2020-11-05,15599.92,10000.0,0.0,0.0,10000.0,0.0,2.0,False,10000.0,0.0
2020-11-06,15590.62,10000.0,0.0,0.0,10000.0,0.0,2.0,False,10000.0,0.0
2020-11-07,14838.16,10000.0,0.0,0.0,10000.0,0.0,2.0,False,10000.0,0.0
2020-11-08,15488.25,10000.0,0.0,0.0,10000.0,0.0,2.0,False,10000.0,0.0
2020-11-09,15335.03,10000.0,0.0,0.0,10000.0,0.0,2.0,False,10000.0,0.0
2020-11-10,15313.73,10000.0,0.0,0.0,10000.0,0.0,2.0,False,10000.0,0.0
2020-11-11,15707.08,10000.0,0.0,0.0,10000.0,0.0,2.0,False,10000.0,0.0
2020-11-12,16306.53,10000.0,0.0,0.0,10000.0,0.0,2.0,False,10000.0,0.0
2020-11-13,16332.85,10000.0,0.0,0.0,10000.0,0.0,2.0,False,10000.0,0.0
2020-11-14,16075.95,10000.0,0.0,0.0,10000.0,0.0,2.0,False,10000.0,0.0
2020-11-15,15964.7,10000.0,0.0,0.0,10000.0,0.0,2.0,False,10000.0,0.0
2020-11-16,16721.46,10000.0,0.0,0.0,10000.0,0.0,2.0,False,10000.0,0.0
2020-11-17,17681.54,10000.0,0.0,0.0,10000.0,0.0,2.0,False,10000.0,0.0
2020-11-18,17786.27,10000.0,0.0,0.0,10000.0,0.0,1.0,False,10000.0,0.0
2020-11-19,17824.64,10000.0,0.0,0.0,10000.0,0.0,1.0,False,10000.0,0.0
2020-11-20,18672.78,10000.0,0.0,0.0,10000.0,0.0,1.0,False,10000.0,0.0
2020-11-21,18704.06,10000.0,0.0,0.0,10000.0,0.0,1.0,False,10000.0,0.0
2020-11-22,18430.59,10000.0,0.0,0.0,10000.0,0.0,1.0,False,10000.0,0.0
2020-11-23,18385.74,10000.0,0.0,0.0,10000.0,0.0,1.0,False,10000.0,0.0
2020-11-24,19157.16,10000.0,0.0,0.0,10000.0,0.0,1.0,False,10000.0,0.0
2020-11-25,18725.76,10000.0,0.0,0.0,10000.0,0.0,1.0,False,10000.0,0.0
2020-11-26,17175.86,10000.0,0.0,0.0,10000.0,0.0,1.0,False,10000.0,0.0
2020-11-27,17155.0,10000.0,0.0,0.0,10000.0,0.0,0.0,False,10000.0,0.0
2020-11-28,17739.9,10000.0,0.0,0.0,10000.0,0.0,0.0,False,10000.0,0.0
2020-11-29,18199.23,10000.0,0.0,0.0,10000.0,0.0,0.0,False,10000.0,0.0
2020-11-30,19686.87,10000.0,0.0,0.0,10000.0,0.0,0.0,False,10000.0,0.0
2020-12-01,18792.03,10000.0,0.0,0.0,10000.0,0.0,0.0,False,10000.0,0.0
2020-12-02,19226.19,10000.0,0.0,0.0,10000.0,0.0,0.0,False,10000.0,0.0
2020-12-03,19448.44,10000.0,0.0,0.0,10000.0,0.0,0.0,False,10000.0,0.0
2020-12-04,18665.0,10000.0,0.0,0.0,10000.0,0.0,0.0,False,10000.0,0.0
2020-12-05,19156.84,10000.0,0.0,0.0,10000.0,0.0,0.0,False,10000.0,0.0
2020-12-06,19378.94,10000.0,0.0,0.0,10000.0,0.0,2.0,False,10000.0,0.0
2020-12-07,19181.41,10000.0,0.0,0.0,10000.0,0.0,2.0,False,10000.0,0.0
2020-12-08,18323.52,10000.0,0.0,0.0,10000.0,0.0,2.0,False,10000.0,0.0
2020-12-09,18549.92,10000.0,0.0,0.0,10000.0,0.0,1.0,False,10000.0,0.0
2020-12-10,18250.47,10000.0,0.0,0.0,10000.0,0.0,1.0,False,10000.0,0.0
2020-12-11,18034.86,10000.0,0.0,0.0,10000.0,0.0,1.0,False,10000.0,0.0
2020-12-12,18814.98,10000.0,0.0,0.0,10000.0,0.0,1.0,False,10000.0,0.0
2020-12-13,19169.05,10000.0,0.0,0.0,10000.0,0.0,1.0,False,10000.0,0.0
2020-12-14,19274.69,10000.0,0.0,0.0,10000.0,0.0,1.0,False,10000.0,0.0
2020-12-15,19441.96,10000.0,0.0,0.0,10000.0,0.0,1.0,False,10000.0,0.0
2020-12-16,21352.13,10000.0,0.0,0.0,10000.0,0.0,1.0,False,10000.0,0.0
2020-12-17,22822.17,10000.0,0.0,0.0,10000.0,0.0,1.0,False,10000.0,0.0
2020-12-18,23135.57,10000.0,0.0,0.0,10000.0,0.0,0.0,False,10000.0,0.0
2020-12-19,23844.72,10000.0,0.0,0.0,10000.0,0.0,0.0,False,10000.0,0.0
2020-12-20,23467.06,10000.0,0.0,0.0,10000.0,0.0,0.0,False,10000.0,0.0
2020-12-21,22727.13,10000.0,0.0,0.0,10000.0,0.0,0.0,False,10000.0,0.0
2020-12-22,23823.32,10000.0,0.0,0.0,10000.0,0.0,0.0,False,10000.0,0.0
2020-12-23,23239.5,10000.0,0.0,0.0,10000.0,0.0,2.0,False,10000.0,0.0
2020-12-24,23724.2,10000.0,0.0,0.0,10000.0,0.0,2.0,False,10000.0,0.0
2020-12-25,24707.98,10000.0,0.0,0.0,10000.0,0.0,2.0,False,10000.0,0.0
2020-12-26,26445.7,10000.0,0.0,0.0,10000.0,0.0,1.0,False,10000.0,0.0
2020-12-27,26249.27,10000.0,0.0,0.0,10000.0,0.0,1.0,False,10000.0,0.0
2020-12-28,27039.45,10000.0,0.0,0.0,10000.0,0.0,1.0,False,10000.0,0.0
2020-12-29,27360.78,10000.0,0.0,0.0,10000.0,0.0,1.0,False,10000.0,0.0
2020-12-30,28889.61,10000.0,0.0,0.0,10000.0,0.0,1.0,False,10000.0,0.0
2020-12-31,28972.4,10000.0,0.0,0.0,10000.0,0.0,2.0,False,10000.0,0.0
2021-01-01,29388.94,10000.0,0.0,0.0,10000.0,0.0,2.0,False,10000.0,0.0
2021-01-02,32203.64,10000.0,0.0,0.0,10000.0,0.0,2.0,False,10000.0,0.0
2021-01-03,33063.48,10000.0,0.0,0.0,10000.0,0.0,2.0,False,10000.0,0.0
2021-01-04,32030.55,10000.0,0.0,0.0,10000.0,0.0,2.0,False,10000.0,0.0
2021-01-05,34038.29,10000.0,0.0,0.0,10000.0,0.0,2.0,False,10000.0,0.0
2021-01-06,36849.86,10000.0,0.0,0.0,10000.0,0.0,1.0,False,10000.0,0.0
2021-01-07,39479.41,10000.0,0.0,0.0,10000.0,0.0,1.0,False,10000.0,0.0
2021-01-08,40636.24,10000.0,0.0,0.0,10000.0,0.0,2.0,False,10000.0,0.0
2021-01-09,40236.66,10000.0,0.0,0.0,10000.0,0.0,2.0,False,10000.0,0.0
2021-01-10,38202.08,10000.0,0.0,0.0,10000.0,0.0,2.0,False,10000.0,0.0
2021-01-11,35496.03,10000.0,0.0,0.0,10000.0,0.0,2.0,False,10000.0,0.0
2021-01-12,34058.4,10000.0,0.0,0.0,10000.0,0.0,2.0,False,10000.0,0.0
2021-01-13,37380.85,10000.0,0.0,0.0,10000.0,0.0,3.0,True,10000.0,0.0
2021-01-14,39155.58,10000.0,0.0,0.0,10000.0,0.0,2.0,False,10000.0,0.0
2021-01-15,36790.17,10000.0,0.0,0.0,10000.0,0.0,2.0,False,10000.0,0.0
2021-01-16,36025.26,10000.0,0.0,0.0,10000.0,0.0,2.0,False,10000.0,0.0
2021-01-17,35839.51,10000.0,0.0,0.0,10000.0,0.0,3.0,True,10000.0,0.0
2021-01-18,36623.04,10000.0,0.0,0.0,10000.0,0.0,3.0,True,10000.0,0.0
2021-01-19,35932.79,10000.0,0.0,0.0,10000.0,0.0,3.0,True,10000.0,0.0
2021-01-20,35501.38,10000.0,0.0,0.0,10000.0,0.0,3.0,True,10000.0,0.0
2021-01-21,30840.3,10000.0,0.0,0.0,10000.0,0.0,3.0,True,10000.0,0.0
2021-01-22,33008.02,10000.0,0.0,0.0,10000.0,0.0,3.0,True,10000.0,0.0
2021-01-23,32107.29,10000.0,0.0,0.0,10000.0,0.0,3.0,True,10000.0,0.0
2021-01-24,32283.66,10000.0,0.0,0.0,10000.0,0.0,4.0,True,10000.0,0.0
2021-01-25,32275.27,10000.0,0.0,0.0,10000.0,0.0,4.0,True,10000.0,0.0
2021-01-26,32516.52,10000.0,0.0,0.0,10000.0,0.0,4.0,True,10000.0,0.0
2021-01-27,30423.05,10000.0,0.0,0.0,10000.0,0.0,3.0,True,10000.0,0.0
2021-01-28,33443.87,10000.0,0.0,0.0,10000.0,0.0,3.0,True,10000.0,0.0
2021-01-29,34252.08,10000.0,0.0,0.0,10000.0,0.0,3.0,True,10000.0,0.0
2021-01-30,34317.82,10000.0,0.0,0.0,10000.0,0.0,3.0,True,10000.0,0.0
2021-01-31,33143.22,10000.0,0.0,0.0,10000.0,0.0,4.0,True,10000.0,0.0
2021-02-01,33535.94,10000.0,0.0,0.0,10000.0,0.0,4.0,True,10000.0,0.0
2021-02-02,35524.43,10000.0,0.0,0.0,10000.0,0.0,4.0,True,10000.0,0.0
2021-02-03,37677.34,10000.0,0.0,0.0,10000.0,0.0,4.0,True,10000.0,0.0
2021-02-04,36983.42,10000.0,0.0,0.0,10000.0,0.0,3.0,True,10000.0,0.0
2021-02-05,38310.24,10000.0,0.0,0.0,10000.0,0.0,3.0,True,10000.0,0.0
2021-02-06,39267.01,10000.0,0.0,0.0,10000.0,0.0,3.0,True,10000.0,0.0
2021-02-07,38868.82,10000.0,0.0,0.0,10000.0,0.0,3.0,True,10000.0,0.0
2021-02-08,46437.41,10000.0,0.0,0.0,10000.0,0.0,2.0,False,10000.0,0.0
2021-02-09,46509.57,10000.0,0.0,0.0,10000.0,0.0,2.0,False,10000.0,0.0
2021-02-10,44854.95,10000.0,0.0,0.0,10000.0,0.0,2.0,False,10000.0,0.0
2021-02-11,48006.18,10000.0,0.0,0.0,10000.0,0.0,2.0,False,10000.0,0.0
2021-02-12,47435.54,10000.0,0.0,0.0,10000.0,0.0,2.0,False,10000.0,0.0
2021-02-13,47222.32,10000.0,0.0,0.0,10000.0,0.0,1.0,False,10000.0,0.0
2021-02-14,48652.87,10000.0,0.0,0.0,10000.0,0.0,1.0,False,10000.0,0.0
2021-02-15,47936.51,10000.0,0.0,0.0,10000.0,0.0,1.0,False,10000.0,0.0
2021-02-16,49184.63,10000.0,0.0,0.0,10000.0,0.0,1.0,False,10000.0,0.0
2021-02-17,52154.91,10000.0,0.0,0.0,10000.0,0.0,1.0,False,10000.0,0.0
2021-02-18,51591.61,10000.0,0.0,0.0,10000.0,0.0,1.0,False,10000.0,0.0
2021-02-19,55933.47,10000.0,0.0,0.0,10000.0,0.0,1.0,False,10000.0,0.0
2021-02-20,55900.84,10000.0,0.0,0.0,10000.0,0.0,1.0,False,10000.0,0.0
2021-02-21,57469.95,10000.0,0.0,0.0,10000.0,0.0,1.0,False,10000.0,0.0
2021-02-22,54121.17,10000.0,0.0,0.0,10000.0,0.0,1.0,False,10000.0,0.0
2021-02-23,48898.7,10000.0,0.0,0.0,10000.0,0.0,1.0,False,10000.0,0.0
2021-02-24,49738.17,10000.0,0.0,0.0,10000.0,0.0,1.0,False,10000.0,0.0
2021-02-25,47082.87,10000.0,0.0,0.0,10000.0,0.0,1.0,False,10000.0,0.0
2021-02-26,46324.5,10000.0,0.0,0.0,10000.0,0.0,1.0,False,10000.0,0.0
